"lon","lat","height"
710517,259824,539
714984,146451,575
609350,149001,1322
560404,130713,381
690180,193564,438
760382,261386,398
752691,164038,987
687444,165044,1438
771030,184825,1878
756910,209350,496
606850,202975,941
610908,265611,316
777273,166618,1407
601933,204409,552
659812,267696,325
718550,132800,278
657996,135422,1479
735325,262285,470
771281,148119,1856
515887,153210,683
629564,141084,1538
595831,163587,820
555264,138175,374
647552,176803,567
648395,248369,386
816494,170225,1968
534225,188081,1205
689688,130565,417
677758,226878,442
570845,220157,1599
565060,211006,1136
759465,193152,556
577040,147654,1028
704433,117457,1661
573817,137852,1412
579192,79753,2472
573622,225597,695
732820,189380,2480
571162,210797,430
783518,187458,1594
593269,244543,439
708190,173793,1197
726347,237176,623
650279,141897,2893
642912,225540,521
699982,221068,910
732265,198425,957
674160,186069,1035
568197,114693,482
605412,106748,1825
562464,252675,596
644332,193311,939
575183,180076,650
616773,160884,756
498904,122631,410
682509,205571,521
657322,188976,471
723755,210567,516
626900,92512,3129
598218,225349,427
668583,158215,1980
733016,124090,323
630738,116062,1605
688477,171926,950
640421,245949,380
690050,167475,2283
738421,273962,440
677456,283472,419
713516,247756,1144
735685,181965,698
633023,169092,577
641930,155275,3580
612662,218664,485
536981,203974,1050
550919,214861,1017
497060,142371,1669
707637,226334,468
628003,198793,743
567718,155076,1974
656373,272121,341
586854,105302,2735
513821,169387,1045
581914,130622,2964
567375,107577,990
704172,114342,366
717873,95884,273
665543,209849,454
672250,259460,845
715479,113161,203
571758,167316,714
533458,176567,437
714263,140943,2171
655844,175930,588
583492,102189,839
601709,127488,1427
722503,87456,1600
629149,89520,2885
660127,232851,453
614325,110730,1580
633053,269147,343
587792,202479,479
588150,200125,775
815374,188987,2380
638136,206078,1403
563086,205559,485
506878,139572,455
764170,249582,409
688728,220956,724
555505,158052,828
798422,143020,2260
562131,184611,490
661904,203410,2106
695880,152264,990
783150,143521,3302
760261,160570,2670
586828,177406,1042
801992,136248,1078
540819,151510,455
734848,221278,419
682587,144091,1896
633252,253845,611
734115,147294,1638
719099,279047,718
787249,155685,1708
690999,215145,790
688702,282803,438
769617,205125,626
713725,231533,408
643683,199710,744
817137,186393,1303
778574,144976,1804
647683,116340,1465
591633,118583,482
523549,148525,425
618695,269036,493
747865,254588,775
828861,165579,1386
716048,77973,353
715870,280916,397
744183,234918,2502
611200,177640,570
675400,180400,3040
679454,245034,854
666747,150767,1345
757722,221699,457
761634,180385,1568
734016,165551,1242
552106,146847,405
768485,135866,1089
544198,163650,859
631150,128024,639
780614,189634,2691
626404,233848,422
693847,230744,485
659355,265380,334
624298,97574,1638
681432,253548,443
685116,248065,555
682710,259338,426
